File,k,Percentage of items in the same position,Sum of the differences between the exact counter and the estimate,Mean percentage of the difference between the exact counter and the estimate,Percentage of items with frequency greater than m/k,Execution time
books/The Adventures of Sherlock Holmes.txt,2,0.0,27158,99.99631797930704,100.0,0.39990711212158203
books/The Adventures of Sherlock Holmes.txt,3,0.0,27158,99.99631797930704,100.0,0.2960190773010254
books/The Adventures of Sherlock Holmes.txt,4,0.0,90736,99.99056815393082,100.0,0.2801845073699951
books/The Adventures of Sherlock Holmes.txt,5,0.0,90736,99.99056815393082,100.0,0.27872228622436523
books/The Adventures of Sherlock Holmes.txt,6,33.33333333333333,90734,99.9893122354148,100.0,0.2613091468811035
books/The Adventures of Sherlock Holmes.txt,7,33.33333333333333,90729,99.9861724391248,100.0,0.26259493827819824
books/The Adventures of Sherlock Holmes.txt,8,20.0,120939,99.98601013144625,100.0,0.24988389015197754
books/The Adventures of Sherlock Holmes.txt,9,33.33333333333333,84956,96.36351028658811,100.0,0.24010396003723145
books/The Adventures of Sherlock Holmes.txt,10,25.0,213058,97.3918966948873,100.0,0.26010894775390625
books/The Adventures of Sherlock Holmes.txt,11,25.0,207416,95.95180039411865,100.0,0.2300262451171875
books/The Adventures of Sherlock Holmes.txt,12,50.0,277396,94.62644001180766,100.0,0.23009109497070312
books/The Adventures of Sherlock Holmes.txt,13,50.0,262653,90.83618037805006,100.0,0.20980143547058105
books/The Adventures of Sherlock Holmes.txt,14,69.23076923076923,284146,86.81192508727761,100.0,0.18485450744628906
books/The Adventures of Sherlock Holmes.txt,15,64.28571428571429,255303,79.9458078427361,100.0,0.19162964820861816
books/The Adventures of Sherlock Holmes.txt,16,84.61538461538461,227856,71.53398205466895,100.0,0.1634504795074463
books/The Adventures of Sherlock Holmes.txt,17,86.66666666666667,219612,68.6514774731638,100.0,0.17002487182617188
books/The Adventures of Sherlock Holmes.txt,18,82.35294117647058,211905,66.95164418178987,100.0,0.1898961067199707
books/The Adventures of Sherlock Holmes.txt,19,77.77777777777779,196723,64.08252698760889,100.0,0.15524792671203613
books/The Adventures of Sherlock Holmes.txt,20,89.47368421052632,178204,59.1222350095124,100.0,0.13501405715942383
books/The Adventures of Sherlock Holmes.txt,21,100.0,143124,48.49964015249304,100.0,0.13516926765441895
books/The Adventures of Sherlock Holmes.txt,22,100.0,100216,36.431538278795415,100.0,0.11452341079711914
books/The Adventures of Sherlock Holmes.txt,23,100.0,35200,13.79183170603955,100.0,0.11022114753723145
books/The Adventures of Sherlock Holmes.txt,24,100.0,17600,6.895915853019775,100.0,0.10488510131835938
books/The Adventures of Sherlock Holmes.txt,25,95.83333333333334,11898,11.87283101811898,100.0,0.12281346321105957
books/The Adventures of Sherlock Holmes.txt,26,100.0,4300,5.691260004838598,100.0,0.10249924659729004
books/The Adventures of Sherlock Holmes.txt,27,100.0,598,1.3254713908383662,100.0,0.10490870475769043
books/The Adventures of Sherlock Holmes.txt,28,100.0,269,3.3327255420579314,100.0,0.11486387252807617
books/The Adventures of Sherlock Holmes.txt,29,100.0,140,4.731849814920788,100.0,0.10022854804992676
books/The Adventures of Sherlock Holmes.txt,30,96.55172413793103,56,1.8274730319694081,100.0,0.10976696014404297
books/The Adventures of Sherlock Holmes.txt,31,96.66666666666667,29,2.5499452987852136,100.0,0.10982441902160645
books/King James Bible.txt,2,0.0,224028,99.99955362921764,100.0,2.0599730014801025
books/King James Bible.txt,3,50.0,634429,99.99965498284388,100.0,2.115307569503784
books/King James Bible.txt,4,0.0,224028,99.99955362921764,100.0,2.3005752563476562
books/King James Bible.txt,5,0.0,628201,99.99947237660642,100.0,2.3341567516326904
books/King James Bible.txt,6,0.0,1118173,99.99938334856377,100.0,2.100090503692627
books/King James Bible.txt,7,33.33333333333333,1201139,99.99905522082986,100.0,2.0699949264526367
books/King James Bible.txt,8,14.285714285714285,1434441,99.70175718610487,100.0,2.069767713546753
books/King James Bible.txt,9,40.0,1296129,97.13904561739386,100.0,1.947038173675537
books/King James Bible.txt,10,37.5,1854647,96.79072590860756,100.0,1.9283573627471924
books/King James Bible.txt,11,62.5,1779256,94.10028799530973,100.0,1.830005407333374
books/King James Bible.txt,12,85.71428571428571,1564171,87.07514214694235,100.0,1.6645913124084473
books/King James Bible.txt,13,88.88888888888889,1775561,83.38241201096558,100.0,1.605330467224121
books/King James Bible.txt,14,81.81818181818183,1910056,79.87984228889098,100.0,1.4898931980133057
books/King James Bible.txt,15,91.66666666666666,1744257,72.97259761426821,100.0,1.4248239994049072
books/King James Bible.txt,16,92.85714285714286,1619892,68.51169159784394,100.0,1.408510684967041
books/King James Bible.txt,17,73.33333333333333,1467043,63.32289991731225,100.0,1.3841099739074707
books/King James Bible.txt,18,70.58823529411765,1423733,63.01337833958206,100.0,1.271545648574829
books/King James Bible.txt,19,88.23529411764706,1271188,58.2792739558762,100.0,1.2751812934875488
books/King James Bible.txt,20,88.88888888888889,1135674,53.785698200549504,100.0,1.209653615951538
books/King James Bible.txt,21,100.0,989216,48.551105003444285,100.0,1.1303110122680664
books/King James Bible.txt,22,100.0,687946,36.23650459434989,100.0,1.0095930099487305
books/King James Bible.txt,23,100.0,311652,18.010187915682867,100.0,0.9953482151031494
books/King James Bible.txt,24,100.0,123291,9.164350957419819,100.0,1.2395868301391602
books/King James Bible.txt,25,100.0,56672,7.132601398230811,100.0,1.2504405975341797
